credit_profile_id,credit_score,total_open_accounts,past_defaults,credit_utilization_ratio,credit_history_years,inquiries_last_6_months,risk_grade
5141,660,6,0,0.4,13,2,C
5142,556,6,1,0.74,12,4,D
5143,432,2,0,0.33,16,5,D
5144,575,7,0,0.37,1,2,D
5145,812,2,0,0.65,13,1,A
5146,612,6,2,0.27,7,3,C
5147,875,1,0,0.86,5,2,A
5148,583,3,0,0.54,8,3,C
5149,420,2,1,0.48,14,4,D
5150,406,7,0,0.57,13,2,D
5151,503,4,0,0.24,15,0,D
5152,464,8,0,0.62,17,3,D
5153,604,6,0,0.41,15,4,C
5154,796,4,2,0.86,18,0,A
5155,855,5,0,0.24,18,0,A
5156,455,9,0,0.53,2,0,D
5157,666,7,0,0.61,4,0,C
5158,550,9,0,0.13,1,2,D
5159,633,7,0,0.41,4,5,C
5160,810,1,1,0.72,18,2,A
5161,592,8,0,0.8,5,2,C
5162,319,4,0,0.37,19,4,D
5163,581,3,0,0.78,15,4,C
5164,300,7,0,0.92,8,5,D
5165,418,3,0,0.83,17,4,D
5166,334,8,0,0.2,1,1,D
5167,497,6,2,0.73,12,5,D
5168,784,5,0,0.37,19,4,A
5169,358,4,0,0.94,15,5,D
5170,460,8,0,0.51,9,2,D
5171,505,8,0,0.2,7,2,D
5172,311,1,1,0.72,2,5,D
5173,789,9,0,0.37,9,1,A
5174,575,5,0,0.95,10,1,D
5175,541,4,0,0.93,2,5,D
5176,515,6,0,0.66,19,4,D
5177,550,6,0,0.21,11,3,D
5178,425,2,0,0.68,13,1,D
5179,516,8,1,0.18,10,0,D
5180,605,7,0,0.12,14,2,C
5181,484,1,0,0.8,18,5,D
5182,338,5,0,0.28,19,0,D
5183,522,6,1,0.42,9,5,D
5184,483,4,0,0.93,7,2,D
5185,794,2,1,0.39,3,2,A
5186,726,4,0,0.35,6,1,B
5187,477,1,0,0.88,2,1,D
5188,727,7,1,0.19,6,0,B
5189,593,2,0,0.75,3,5,C
5190,450,2,0,0.94,16,2,D
5191,683,9,0,0.87,8,0,B
5192,607,5,1,0.65,2,3,C
5193,635,2,0,0.37,17,0,C
5194,674,9,0,0.32,9,4,B
5195,307,9,0,0.8,12,0,D
5196,640,1,0,0.85,3,4,C
5197,428,3,0,0.55,11,4,D
5198,651,4,1,0.31,1,4,C
5199,657,7,1,0.2,13,3,C
5200,816,4,1,0.17,15,0,A
5201,794,2,0,0.71,5,0,A
5202,385,7,0,0.46,17,3,D
5203,474,6,1,0.87,6,2,D
5204,492,3,0,0.73,11,1,D
5205,610,6,1,0.26,18,0,C
5206,418,6,1,0.62,4,1,D
5207,517,5,0,0.47,3,5,D
5208,726,4,0,0.59,13,5,B
5209,713,1,0,0.73,9,3,B
5210,413,6,0,0.79,6,5,D
5211,444,2,0,0.82,12,5,D
5212,837,3,1,0.32,2,2,A
5213,602,8,0,0.13,3,2,C
5214,887,6,0,0.73,3,2,A
5215,644,3,0,0.19,12,5,C
5216,300,7,0,0.37,15,3,D
5217,446,4,0,0.1,9,4,D
5218,586,9,0,0.68,8,4,C
5219,352,5,0,0.24,11,1,D
5220,603,3,0,0.66,16,4,C
5221,368,2,0,0.94,4,4,D
5222,660,2,0,0.16,1,2,C
5223,519,3,1,0.17,7,2,D
5224,874,2,0,0.39,2,5,A
5225,884,4,0,0.84,5,1,A
5226,460,2,0,0.28,7,0,D
5227,388,9,0,0.41,4,1,D
5228,884,2,0,0.16,5,1,A
5229,888,9,0,0.75,1,3,A
5230,458,6,0,0.45,1,5,D
5231,788,1,0,0.75,15,3,A
5232,623,4,0,0.87,19,1,C
5233,680,1,0,0.3,10,1,B
5234,401,6,0,0.79,18,1,D
5235,793,4,0,0.15,3,4,A
5236,318,3,0,0.86,11,3,D
5237,753,3,0,0.65,15,1,A
5238,781,9,0,0.84,11,2,A
5239,893,6,2,0.1,17,5,A
5240,696,9,0,0.24,17,5,B
5241,578,5,1,0.43,6,2,D
5242,664,2,0,0.42,5,5,C
5243,630,8,0,0.29,8,4,C
5244,643,5,0,0.42,2,4,C
5245,754,2,0,0.21,16,0,A
5246,364,4,0,0.45,12,0,D
5247,375,9,0,0.78,6,0,D
5248,442,4,0,0.51,1,5,D
5249,772,4,1,0.12,4,4,A
5250,716,2,1,0.46,17,4,B
