loan_id,customer_id,credit_profile_id,loan_amount,interest_rate,tenure_months,emi,disbursal_date,dti_ratio,default_flag,loan_status,total_paid_amount,outstanding_amount,days_past_due
20212,1024,5129,678380,8.95,48,16865.41,01-07-2022,0.16,1,Default,260253.76,418126.24,75
20228,1024,5090,859057,11.91,36,28496.07,26-11-2022,0.27,0,Active,176657.66,682399.34,8
20006,1025,5215,1424073,10.04,36,45977.58,22-02-2022,0.23,0,Active,1204277.64,219795.36,7
20126,1025,5249,855351,9.67,12,75067.73,06-01-2024,0.37,0,Active,688066.59,167284.41,1
20248,1027,5087,1390829,13.58,12,124603.84,17-05-2024,0.72,1,Default,1112710.71,278118.29,125
20141,1028,5108,940023,13.47,60,21615.26,13-06-2023,0.17,0,Active,532532.94,407490.06,1
20183,1028,5170,1240456,10.08,24,57286.56,14-03-2024,0.46,1,Default,919798.71,320657.29,139
20188,1028,5104,343946,16.48,24,16919.66,14-09-2024,0.14,0,Active,232833.25,111112.75,9
20229,1029,5206,606376,9.59,24,27866.57,09-09-2022,0.34,1,Default,521618.2,84757.8,126
20032,1030,5026,261509,10.91,36,8550.33,05-05-2024,0.07,1,Default,87505.34,174003.66,66
20008,1031,5218,412916,16.18,36,14553.62,01-02-2024,0.14,1,Default,259121.1,153794.9,148
20159,1031,5222,77798,14.73,48,2154.54,30-06-2022,0.02,0,Active,46366.19,31431.81,1
20012,1032,5137,1474663,11.56,36,48670.59,12-10-2022,0.33,0,Active,967468.85,507194.15,6
20264,1033,5068,1138963,14.55,36,39232,26-12-2022,0.28,1,Default,562527.09,576435.91,37
20044,1034,5095,896574,16.74,60,22157.02,06-09-2022,0.68,1,Default,452726.25,443847.75,99
20180,1036,5101,197595,14.48,36,6799.49,03-11-2023,0.19,1,Default,70499.48,127095.52,53
20134,1037,5055,1257610,15.54,24,61300.44,18-06-2023,0.39,1,Default,950123.67,307486.33,173
20063,1038,5241,854807,8.11,60,17377.44,25-06-2023,0.09,1,Default,717407.78,137399.22,67
20142,1041,5115,1083668,13.75,48,29477.11,04-05-2023,0.27,1,Default,382298.47,701369.53,154
20135,1042,5102,528108,16.71,24,26037.33,28-09-2023,0.17,1,Default,117369.33,410738.67,159
20274,1043,5147,134381,9.51,60,2822.91,09-05-2022,0.04,0,Active,58910.13,75470.87,0
20204,1044,5228,172332,8.45,60,3531.5,10-05-2022,0.17,0,Active,143910.02,28421.98,6
20291,1045,5242,1469920,15.48,12,133005.66,31-08-2023,1.12,1,Default,303951.26,1165968.74,68
20208,1046,5247,301671,16.31,60,7385.83,24-06-2024,0.11,1,Default,210288.92,91382.08,110
20144,1047,5059,1470623,17.45,60,36905.55,13-06-2023,1.04,1,Default,885470.53,585152.47,71
20205,1047,5009,1332807,11.5,60,29311.9,11-09-2022,0.83,1,Default,412368.62,920438.38,133
20139,1048,5134,526128,10.04,24,24287.85,25-05-2022,0.17,0,Active,147837.19,378290.81,0
20052,1049,5102,718516,13,12,64175.89,08-06-2022,0.68,1,Default,415806.67,302709.33,74
20199,1049,5195,446981,15.29,36,15558.3,26-11-2022,0.17,1,Default,176409.84,270571.16,47
20067,1050,5052,1495065,13.16,36,50489.94,02-10-2023,1.08,1,Default,1245892.14,249172.86,177
20090,1051,5078,135774,10.32,60,2906.22,13-03-2022,0.02,1,Default,105326.17,30447.83,157
20281,1051,5154,902050,14.3,60,21129.69,14-09-2024,0.16,0,Active,704596.39,197453.61,2
20019,1052,5075,322919,13.97,36,11031.9,22-08-2023,0.07,1,Default,136476.77,186442.23,98
20003,1053,5205,1339709,13.47,60,30805.8,28-02-2024,0.21,0,Active,993215.69,346493.31,9
20028,1053,5236,99976,11.97,12,8881.34,26-08-2023,0.06,1,Default,22899.44,77076.56,43
20203,1053,5010,533455,11.69,12,47319.5,09-01-2023,0.32,0,Active,117578.09,415876.91,7
20206,1053,5182,597219,17.29,12,54551.44,28-02-2024,0.37,1,Default,211452.6,385766.4,169
20018,1054,5178,594279,10.15,48,15115.3,02-03-2024,0.2,1,Default,271062.58,323216.42,37
20166,1054,5039,1074374,14.97,36,37227.75,22-01-2022,0.5,1,Default,368480.99,705893.01,89
20190,1054,5055,692927,17.82,60,17528.01,15-09-2023,0.24,1,Default,161278.82,531648.18,105
20201,1054,5141,1173853,15.07,48,32710.87,13-04-2024,0.44,0,Active,471423.76,702429.24,4
20265,1055,5197,236633,16.24,60,5784.67,14-08-2022,0.12,1,Default,129633.91,106999.09,58
20096,1056,5003,587977,13.22,48,15838.23,14-05-2023,0.11,1,Default,174019.21,413957.79,145
20005,1057,5124,736915,15.01,12,66516.18,16-01-2023,0.59,1,Default,244948.61,491966.39,101
20198,1057,5093,882595,8.7,12,77061.5,15-11-2023,0.69,1,Default,508770.17,373824.83,177
20269,1057,5149,828799,12.62,12,73878.39,16-07-2024,0.66,1,Default,493793.45,335005.55,138
20036,1059,5083,88578,16,60,2154.04,05-03-2024,0.01,0,Active,49110.41,39467.59,6
20293,1059,5109,690794,15.07,48,19249.83,15-12-2023,0.1,0,Active,491714.17,199079.83,7
20106,1060,5209,478276,15.22,48,13364.18,18-01-2022,0.13,0,Active,131094.14,347181.86,3
20074,1064,5166,119087,16.06,12,10808.25,01-12-2023,0.09,1,Default,89189.53,29897.47,177
20079,1065,5061,301514,10.55,24,13990.01,07-04-2023,0.13,0,Active,240997.95,60516.05,3
20192,1065,5176,1483466,13.13,60,33852.21,04-04-2023,0.32,1,Default,751707.38,731758.62,65
20237,1065,5091,1421430,11.07,48,36785.94,20-08-2024,0.35,1,Default,557298.96,864131.04,64
20071,1069,5054,1238360,15.21,36,43055.62,10-06-2023,0.57,1,Default,502757.71,735602.29,79
20184,1070,5171,285419,8.42,60,5844.81,06-10-2023,0.05,1,Default,65882.77,219536.23,107
20163,1073,5094,267400,15.15,48,7462.29,03-04-2023,0.05,0,Active,196089.37,71310.63,5
20014,1074,5133,1243918,8.77,60,25683.06,16-05-2024,0.5,0,Active,733313.72,510604.28,8
20207,1074,5248,139116,11.79,12,12346.63,07-02-2023,0.24,1,Default,78293.56,60822.44,173
20049,1075,5049,894081,9.44,48,22436.51,27-05-2024,0.15,1,Default,710502.88,183578.12,175
20284,1075,5149,520435,12.29,48,13779.27,08-05-2024,0.09,1,Default,200451.3,319983.7,119
20030,1079,5106,315976,10.53,60,6796.25,24-05-2023,0.09,0,Active,195306.25,120669.75,0
20053,1079,5216,990568,15.85,24,48430.33,18-02-2022,0.65,1,Default,881003.28,109564.72,48
20009,1081,5004,228048,8.5,36,7198.91,13-04-2024,0.07,0,Active,77510.98,150537.02,5
20215,1081,5093,453777,13.81,48,12356.92,19-03-2023,0.11,0,Active,106705.71,347071.29,7
20045,1082,5156,1256212,14.38,36,43166.56,11-08-2022,0.36,1,Default,949867.84,306344.16,92
20088,1082,5190,407246,11.74,48,10672.43,28-10-2022,0.09,1,Default,253574.94,153671.06,97
20092,1083,5046,1297098,17.04,24,64156.39,22-02-2023,0.4,1,Default,700526.57,596571.43,112
20130,1084,5089,231517,15.49,36,8081.28,08-01-2022,0.11,0,Active,167551.77,63965.23,0
20238,1084,5082,1061930,12.15,12,94425.73,12-09-2022,1.32,1,Default,882578.63,179351.37,162
20065,1087,5005,1470858,17.24,60,36744.69,06-03-2023,0.29,0,Active,299346.94,1171511.06,1
20172,1087,5086,983703,10.86,12,86877.08,23-07-2022,0.68,1,Default,842026.42,141676.58,107
20066,1088,5084,322158,9.12,12,28191.12,20-04-2024,0.18,0,Active,77983.98,244174.02,0
20235,1090,5212,572154,13.42,60,13141.61,11-09-2022,0.09,0,Active,214358.73,357795.27,1
20245,1092,5109,1331506,16.69,60,32869.82,06-01-2024,0.48,0,Active,568609.07,762896.93,8
20058,1093,5159,277189,12.7,60,6264.41,12-05-2022,0.05,0,Active,102003.49,175185.51,5
20127,1094,5076,840605,10.44,24,38960.59,28-02-2022,0.47,0,Active,299375.96,541229.04,4
20061,1096,5242,603172,10.81,24,28059.37,27-09-2022,0.88,1,Default,264791.11,338380.89,102
20047,1098,5235,1192102,12.99,36,40160.89,29-03-2022,0.54,1,Default,357128.33,834973.67,179
20300,1098,5103,1188585,8.06,12,103426.12,15-04-2023,1.38,1,Default,708813.27,479771.73,145
20143,1099,5029,875626,8.22,36,27527.89,06-06-2023,0.24,0,Active,781585.73,94040.27,6
20087,1100,5086,1371448,14.32,36,47086.28,24-01-2023,0.45,0,Active,1176914.36,194533.64,1
20158,1100,5008,175355,16.57,24,8633.76,17-03-2024,0.08,0,Active,147127.18,28227.82,0
20170,1100,5088,323586,10.03,12,28452.87,11-10-2022,0.27,1,Default,160023.9,163562.1,159
20193,1100,5091,1438509,17.89,12,131807.2,18-06-2022,1.26,1,Default,1193217.68,245291.32,51
20216,1100,5071,145556,12.26,12,12950.18,08-06-2024,0.12,0,Active,76450.26,69105.74,0
20118,1101,5068,1445811,15.32,12,130714.88,25-01-2022,0.71,1,Default,655066.57,790744.43,94
20137,1101,5210,644821,12.12,48,17018.63,15-10-2022,0.09,1,Default,237326.06,407494.94,59
20211,1102,5243,564265,14.32,12,50748.73,24-05-2024,0.25,0,Active,495465.42,68799.58,5
20223,1102,5163,700443,10.07,36,22624.35,15-06-2022,0.11,1,Default,523003.07,177439.93,145
20140,1103,5004,1073920,11.28,48,27902.28,12-06-2023,0.5,0,Active,235269.03,838650.97,4
20244,1104,5154,538019,16.62,60,13261.47,27-04-2024,0.41,0,Active,369988.45,168030.55,3
20295,1104,5136,1411236,16.27,12,128223.04,18-09-2024,3.98,1,Default,1054377.93,356858.07,40
20050,1105,5175,242029,15.84,24,11832,20-04-2024,0.15,1,Default,63482.46,178546.54,129
20150,1105,5245,287501,13.12,24,13684.53,30-04-2024,0.18,0,Active,237797.52,49703.48,5
20080,1107,5122,978660,15.43,48,27450.63,13-04-2022,0.14,1,Default,440140.69,538519.31,73
20121,1108,5184,346063,14.35,48,9517.55,27-04-2023,0.06,1,Default,124026.44,222036.56,159
20171,1109,5242,873759,9.27,24,40025.78,08-12-2023,0.27,0,Active,542759.44,330999.56,2
20026,1110,5059,1397764,10.83,24,65036.49,16-02-2024,0.68,1,Default,604594.29,793169.71,130
20222,1111,5094,793088,8.15,48,19417.49,08-07-2024,0.1,0,Active,182518.64,610569.36,0
20280,1111,5071,303091,16.24,60,7409.29,21-03-2023,0.04,0,Active,110475.46,192615.54,5
20095,1112,5222,1164518,11.49,24,54540.97,13-12-2023,0.36,0,Active,1007226.28,157291.72,3
20022,1114,5028,197745,11.33,36,6504.86,20-06-2023,0.05,1,Default,51667.62,146077.38,57
20227,1116,5091,1144409,11.47,12,101395.83,24-09-2022,0.57,1,Default,756040.63,388368.37,108
20275,1117,5109,891708,10.17,24,41217.8,13-01-2023,0.29,0,Active,680796.42,210911.58,2
20200,1118,5108,429270,14.08,24,20626.72,19-08-2024,0.13,0,Active,151046.97,278223.03,2
20041,1119,5104,790389,8.35,36,24895.73,10-06-2023,0.35,0,Active,533259.4,257129.6,5
20239,1119,5068,1034558,15.13,12,93440.93,14-11-2023,1.3,1,Default,362760.66,671797.34,58
20109,1120,5077,353664,12.3,36,11797.45,17-10-2022,0.06,1,Default,243951.39,109712.61,148
20073,1121,5178,365018,12.46,48,9694.97,13-08-2024,0.1,1,Default,313577.12,51440.88,34
20078,1121,5224,345064,13.53,60,7945.2,09-02-2022,0.08,0,Active,242229.54,102834.46,1
20233,1122,5116,1448949,15.74,12,131286.18,10-10-2022,3.89,1,Default,797406.07,651542.93,112
20151,1124,5080,1418722,9.14,48,35399.34,23-07-2023,0.21,0,Active,1072199.96,346522.04,4
20270,1126,5099,1486564,17.83,60,37611.61,03-01-2024,0.94,1,Default,757518.22,729045.78,49
20048,1127,5065,1149577,13.35,60,26362.84,30-05-2023,1.19,1,Default,481919.05,667657.95,45
20160,1130,5096,665937,12.08,24,31372.85,20-06-2024,0.5,0,Active,218341.21,447595.79,7
20221,1131,5117,1479210,15.59,36,51705.71,05-08-2023,0.29,0,Active,621827.46,857382.54,7
20294,1132,5221,1499466,17.67,12,137235.65,05-10-2023,1.37,1,Default,1293633.14,205832.86,71
20070,1134,5248,128077,15.47,24,6238.66,25-05-2023,0.09,1,Default,41501.4,86575.6,161
20258,1134,5022,669055,15.48,24,32593.02,03-08-2024,0.45,1,Default,349083.18,319971.82,87
20259,1135,5098,311445,10.25,24,14407.57,01-12-2022,0.17,0,Active,156248.45,155196.55,1
20278,1135,5047,1046358,12.15,60,23355.05,16-04-2024,0.28,0,Active,455099.07,591258.93,6
20082,1137,5046,834192,16.73,12,75975.43,18-08-2024,0.68,1,Default,339141.3,495050.7,106
20162,1137,5239,69477,10.22,36,2249.01,19-08-2024,0.02,0,Active,41931.5,27545.5,1
20176,1137,5137,200653,12.05,12,17832.47,24-09-2024,0.16,0,Active,127107.12,73545.88,5
20111,1138,5011,723647,16.63,60,17840.84,29-09-2022,0.1,1,Default,428692.73,294954.27,33
20202,1138,5173,1055782,11.74,36,34936.11,04-02-2023,0.21,0,Active,622309.17,433472.83,2
20218,1138,5067,1422840,13.21,36,48085.15,02-01-2024,0.28,0,Active,599884.61,822955.39,0
20077,1139,5015,1439678,12.43,12,128203.43,01-01-2022,0.99,1,Default,539333.24,900344.76,104
20133,1140,5215,522963,12.15,48,13810.17,01-04-2024,0.07,0,Active,259642.52,263320.48,5
20091,1141,5202,438518,11.19,60,9576.05,08-10-2023,0.06,1,Default,140913.43,297604.57,114
20157,1141,5106,984339,14.11,60,22960.02,19-04-2022,0.15,0,Active,443773.74,540565.26,3
20217,1142,5241,1255565,13.48,60,28877.42,13-08-2023,0.29,1,Default,584756.47,670808.53,83
20089,1143,5210,1482769,10.71,24,68909.19,20-04-2022,1.82,1,Default,1192435.23,290333.77,176
20100,1145,5008,396184,12.62,36,13276.61,12-10-2022,0.49,0,Active,187428.38,208755.62,4
20136,1145,5118,1053346,14.79,36,36406.35,12-01-2024,1.35,1,Default,787308.23,266037.77,89
20146,1146,5098,1460023,12.96,48,39139.78,06-07-2024,0.71,1,Default,995931.01,464091.99,106
20002,1147,5156,241387,10.29,36,7821.79,12-02-2023,0.08,1,Default,126964.2,114422.8,88
20081,1147,5021,192180,8.77,24,8759.43,22-07-2023,0.09,1,Default,140334.66,51845.34,63
20020,1148,5143,397139,13.95,24,19058.41,02-12-2022,0.24,1,Default,287766.21,109372.79,119
20115,1149,5070,758672,13.41,48,20507.99,20-03-2022,0.33,0,Active,565963.11,192708.89,9
20187,1149,5170,313031,15.43,48,8780.27,30-11-2023,0.14,1,Default,113328.51,199702.49,171
20029,1152,5199,475468,13.14,48,12788.68,20-04-2022,0.11,0,Active,307136.3,168331.7,3
20220,1153,5148,702755,14.77,60,16633.77,16-10-2022,0.19,1,Default,185500.53,517254.47,34
20231,1153,5018,1294951,14.05,36,44289.81,01-05-2023,0.5,1,Default,356538.77,938412.23,128
20263,1153,5221,330833,10.78,24,15385.64,04-06-2023,0.17,1,Default,271608.44,59224.56,99
20059,1154,5233,1225055,8.28,24,55562.49,22-12-2023,0.32,0,Active,853977.08,371077.92,6
20083,1155,5197,485928,16.28,36,17151.04,01-12-2023,0.09,1,Default,198841.74,287086.26,71
20025,1156,5017,1005230,12.94,60,22841.21,30-08-2022,0.61,1,Default,406878.4,598351.6,105
20076,1156,5226,793859,17.25,24,39345.61,21-03-2022,1.05,1,Default,639432.64,154426.36,155
20240,1156,5193,1129525,11.86,60,25045.82,26-04-2023,0.67,1,Default,925135.88,204389.12,99
20075,1157,5155,863560,8.08,48,21114.47,01-05-2023,0.18,0,Active,452223.77,411336.23,0
20104,1157,5108,510115,12.59,12,45464.02,22-08-2022,0.39,0,Active,107442.37,402672.63,6
20297,1157,5112,1429932,17.34,36,51223.27,20-06-2023,0.44,0,Active,534095.83,895836.17,5
20299,1157,5112,1352600,14.74,24,65416.08,15-10-2022,0.56,1,Default,615269.26,737330.74,163
20042,1159,5068,1250114,15.87,24,61131.85,30-08-2022,0.37,1,Default,725209.89,524904.11,177
20021,1160,5032,1028754,11.72,36,34031.94,12-03-2023,0.56,1,Default,516206.83,512547.17,65
20283,1160,5133,1204697,15.84,36,42258.47,17-02-2022,0.7,1,Default,497806.88,706890.12,71
20105,1161,5161,92291,12.11,48,2435.36,11-07-2023,0.01,1,Default,56019.9,36271.1,136
20119,1161,5099,362863,16.82,12,33063.84,12-09-2024,0.16,1,Default,95983.64,266879.36,76
20084,1162,5134,970114,10.16,36,31375.77,12-05-2022,0.5,0,Active,266723.17,703390.83,3
20175,1162,5044,1185627,16.21,24,58171.02,08-05-2024,0.92,1,Default,780038.36,405588.64,41
20256,1162,5193,423216,13.33,60,9701.11,22-01-2023,0.15,0,Active,380190.16,43025.84,5
20219,1163,5212,445204,11.5,48,11614.93,26-03-2024,0.19,0,Active,178077.02,267126.98,9
20099,1165,5093,640504,11.45,48,16694.48,16-01-2024,0.14,0,Active,389761.75,250742.25,3
20210,1165,5034,1124567,11.73,60,24862.21,04-10-2023,0.21,0,Active,475001.68,649565.32,6
20257,1165,5145,827567,14.37,12,74449,25-03-2022,0.63,1,Default,276235.63,551331.37,156
20164,1166,5065,1315636,16.82,60,32569.74,19-03-2024,0.2,0,Active,982851.08,332784.92,9
20069,1169,5203,1463562,17.43,12,133782.65,17-10-2022,2.53,1,Default,572440.71,891121.29,61
20251,1170,5203,787090,12.44,60,17683.89,12-11-2022,0.14,1,Default,230368.04,556721.96,117
20230,1171,5017,1464657,10.58,36,47660.2,29-08-2022,0.58,1,Default,536066.11,928590.89,60
20072,1172,5161,1304352,16.26,12,118505.52,14-12-2023,0.71,1,Default,365685.32,938666.68,111
20085,1172,5038,651891,16.09,48,18504.84,09-04-2022,0.11,0,Active,331187.12,320703.88,0
20186,1172,5216,204692,9.82,12,17978.55,11-04-2024,0.11,1,Default,133820.49,70871.51,175
20173,1173,5093,384971,13.32,24,18360.14,19-11-2023,0.23,0,Active,161018.55,223952.45,0
20112,1175,5095,312318,13.32,12,27942.3,25-06-2022,0.56,1,Default,268550.2,43767.8,100
20125,1175,5190,608963,11.11,12,53852.41,24-06-2024,1.08,1,Default,384779.86,224183.14,137
20242,1175,5001,1210117,9.85,48,30604.59,22-03-2022,0.61,1,Default,943820.7,266296.3,51
20253,1175,5105,837738,17.58,48,24425.08,15-06-2022,0.49,1,Default,530740.88,306997.12,45
20093,1177,5141,1318933,8.78,60,27238.27,29-10-2023,0.17,0,Active,371736.62,947196.38,3
20024,1178,5233,1105991,11.83,60,24507.25,20-05-2023,0.13,0,Active,545261.97,560729.03,5
20098,1179,5006,463089,16.84,36,16473.53,30-11-2022,0.11,1,Default,297565.57,165523.43,159
20250,1181,5059,818917,9.34,48,20511.25,05-04-2024,0.22,0,Active,416338.61,402578.39,5
20191,1182,5200,1316389,12.5,24,62274.82,31-05-2023,0.72,1,Default,557828.31,758560.69,179
20226,1182,5103,109778,14.62,60,2589.77,05-07-2023,0.03,0,Active,90623.52,19154.48,0
20010,1183,5090,1048082,17.12,60,26115.21,16-02-2024,0.28,0,Active,250352.75,797729.25,7
20110,1183,5050,75675,15.41,36,2638.52,31-10-2023,0.03,0,Active,36899.13,38775.87,1
20167,1184,5081,455105,15.53,48,12788.52,17-01-2023,0.08,1,Default,96359.11,358745.89,95
20054,1185,5182,1491149,13.99,48,40740.37,02-03-2022,0.26,1,Default,1278358.3,212790.7,63
20101,1186,5172,595932,12.15,48,15737.1,27-05-2024,0.17,1,Default,267330.42,328601.58,125
20246,1186,5148,339134,15.24,24,16482.17,06-01-2024,0.18,1,Default,123352.48,215781.52,158
20266,1186,5139,884874,8.63,60,18210.04,03-08-2023,0.2,1,Default,744939.52,139934.48,141
20252,1187,5041,964565,12.51,12,85930.73,31-03-2022,0.53,1,Default,451008,513557,83
20234,1188,5093,1233765,16.53,36,43699.04,13-12-2022,0.69,1,Default,621372.66,612392.34,139
20013,1190,5119,421994,8.16,48,10333.83,19-07-2023,0.12,0,Active,146662.75,275331.25,3
20033,1191,5025,269526,15.71,36,9437.19,01-03-2024,0.05,1,Default,109685.81,159840.19,58
20296,1195,5041,309480,17.03,48,8934.86,05-05-2022,0.09,1,Default,129856.12,179623.88,67
20086,1196,5062,1132448,15.86,48,32012.75,17-05-2023,0.61,1,Default,804942.15,327505.85,124
20124,1196,5090,1300130,10.12,48,33049.63,20-02-2023,0.63,1,Default,896821.41,403308.59,33
20094,1198,5223,462672,16.29,12,42042.15,05-04-2023,0.44,1,Default,313463.62,149208.38,61
20152,1199,5194,347675,15.65,12,31487.3,27-07-2024,0.36,0,Active,108061.82,239613.18,9
20017,1200,5212,1161009,12.25,12,103290.08,19-02-2024,2.47,1,Default,985869.2,175139.8,65
20290,1200,5143,1391701,8.94,48,34592.9,22-04-2024,0.83,1,Default,687504.26,704196.74,49
20128,1201,5139,421513,10.68,60,9097.59,22-04-2023,0.07,1,Default,341921.31,79591.69,79
20282,1201,5040,314064,16.58,12,28581.57,18-05-2023,0.23,0,Active,271280.97,42783.03,1
20165,1203,5171,439959,15.31,24,21396.99,24-01-2022,0.18,1,Default,172917.17,267041.83,68
20051,1204,5052,478733,12.19,48,12651.58,10-06-2022,0.44,1,Default,428076.95,50656.05,59
20097,1204,5222,676256,15.94,24,33092.21,23-07-2022,1.15,1,Default,482656.21,193599.79,167
20247,1204,5116,721553,15.46,24,35143.59,30-01-2023,1.22,1,Default,250826.51,470726.49,116
20035,1205,5045,1044620,10.06,24,48232.85,08-09-2022,0.24,0,Active,647392.07,397227.93,6
20277,1205,5199,1158848,10.64,24,53817.92,04-08-2024,0.27,0,Active,361256.3,797591.7,5
20043,1206,5239,95475,12.11,48,2519.38,14-08-2022,0.03,0,Active,42278.26,53196.74,0
20147,1206,5017,292188,17.33,36,10465.35,12-04-2023,0.11,1,Default,242054.53,50133.47,134
20273,1208,5115,929459,15.48,12,84102.07,09-02-2022,0.43,1,Default,635084.47,294374.53,48
20064,1209,5114,1418335,12.09,48,37412.91,02-12-2022,1.62,1,Default,471703.32,946631.68,99
20243,1209,5058,111842,14,48,3056.25,19-02-2024,0.13,1,Default,78176.69,33665.31,98
20039,1210,5181,258859,17.15,48,7489.49,25-08-2023,0.18,1,Default,113338.61,145520.39,56
20155,1210,5008,892840,17.51,60,22434.95,25-01-2023,0.55,1,Default,276088.51,616751.49,109
20131,1211,5018,120305,13.72,24,5760.29,27-02-2024,0.03,1,Default,71326.31,48978.69,56
20132,1211,5019,742924,17.86,24,37039.58,11-09-2023,0.2,1,Default,276643.29,466280.71,142
20114,1213,5236,1395718,10.97,36,45674.19,02-12-2023,0.44,1,Default,527241.46,868476.54,79
20007,1214,5172,488242,14.54,48,13474.57,17-09-2022,0.08,1,Default,335391.62,152850.38,140
20062,1214,5026,1363428,15.13,36,47350.52,07-12-2022,0.29,1,Default,700999.91,662428.09,176
20168,1214,5187,1385055,12.65,48,36917.41,07-08-2022,0.23,1,Default,935520.73,449534.27,94
20214,1214,5089,760672,8.49,48,18745.68,16-01-2024,0.12,0,Active,597545.09,163126.91,5
20292,1214,5116,132289,16.13,12,12010.83,23-07-2024,0.07,0,Active,105906.41,26382.59,2
20037,1215,5011,664741,11.34,36,21869.95,18-07-2023,0.11,1,Default,296002.04,368738.96,50
20102,1215,5237,112021,8.13,60,2278.36,01-06-2022,0.01,0,Active,25952.4,86068.6,6
20287,1215,5023,325049,15.36,24,15816.19,04-09-2024,0.08,1,Default,73185.15,251863.85,72
20177,1216,5165,295300,12.84,60,6694.82,23-03-2022,0.08,1,Default,127710.41,167589.59,113
20108,1217,5075,1003680,12.89,60,22780.33,05-12-2022,0.3,1,Default,568283.73,435396.27,168
20288,1217,5106,696047,12.36,48,18452.86,05-03-2022,0.24,0,Active,590833.54,105213.46,4
20103,1218,5235,742485,10.96,24,34591.83,31-12-2023,0.22,0,Active,261752.76,480732.24,9
20107,1219,5240,444754,11.85,36,14740.35,31-12-2022,0.75,1,Default,360746.01,84007.99,158
20254,1222,5133,1102425,12.31,12,98109.07,09-01-2024,0.5,0,Active,571146.78,531278.22,8
20055,1223,5188,267583,10.01,12,23526.04,08-04-2024,0.41,0,Active,138332.28,129250.72,5
